ProteinID	Known_GO_Terms
Q50773	GO:0005886, GO:0006730, GO:0019386, GO:0030269, GO:0032259, GO:0034708
Q50774	GO:0005886, GO:0006730, GO:0019386, GO:0030269, GO:0032259, GO:0034708
Q51472	GO:0000976, GO:0001216, GO:0003677, GO:0005829, GO:0006310, GO:0006417, GO:0030527, GO:0032993, GO:0045893
Q54697	GO:0009539, GO:0015979, GO:0030096, GO:0031676
Q57696	GO:0004106, GO:0009697, GO:0042802, GO:0046417
Q59584	GO:0005886, GO:0006730, GO:0019386, GO:0030269, GO:0032259, GO:0034708
Q5F881	GO:0006355, GO:0042803, GO:0043565, GO:0044001
Q65DC4	GO:0005102, GO:0005576, GO:0009275, GO:0031640, GO:0050830
Q6NE58	GO:0110146
Q79FR5	GO:0004806, GO:0005576, GO:0008126, GO:0052572, GO:0071555
Q7AKN0	GO:0003677, GO:0005737, GO:0030435, GO:0035731, GO:0045454, GO:0045892, GO:0046872, GO:0047134, GO:0051539
Q7USA1	GO:0004731, GO:0004850, GO:0005829, GO:0009032, GO:0016154, GO:0047975
Q8ZC17	GO:0004731, GO:0004850, GO:0005829, GO:0009032, GO:0016154, GO:0047975
Q8ZRE7	GO:0004731, GO:0004850, GO:0005829, GO:0009032, GO:0016154, GO:0047975
Q93PP8	GO:0008199, GO:0009055, GO:0022900, GO:0043448
Q97ZX7	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351, GO:0008270
Q980Z8	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351, GO:0008270
Q9HKT2	GO:0005524, GO:0009249, GO:0016979, GO:0032991
Q9HTK8	GO:0005506, GO:0005737, GO:0009055, GO:0043448
Q9I317	GO:0005737, GO:0030254
Q9I322	GO:0005576, GO:0005737, GO:0030254, GO:0050709, GO:0051087, GO:0071277
Q9I3E3	GO:0004731, GO:0004850, GO:0005829, GO:0009032, GO:0016154, GO:0047975
Q9KKY0	GO:0004731, GO:0004850, GO:0005829, GO:0009032, GO:0016154, GO:0047975
Q9R4Y1	GO:0005886, GO:0030151, GO:0033719, GO:0043546, GO:0051539
Q9XDN3	GO:0031472, GO:0051144
A5A618	GO:0005886, GO:0016020, GO:0070069, GO:0071456
A5F1W7	GO:0000976, GO:0001216, GO:0006310, GO:0006417, GO:0030527, GO:0032993
A5HY47	GO:0005886, GO:0008289, GO:0015986, GO:0045263, GO:0046933
A5I4I8	GO:0003735, GO:0006412, GO:0019843, GO:0022627
A5I724	GO:0005524, GO:0005737, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087
A7MVH4	GO:0003677, GO:0005829, GO:0006310, GO:0006355, GO:0006417, GO:0030527, GO:1905087
A9WFC1	GO:0005886, GO:0030964, GO:0042773, GO:0048038, GO:0050136
